round,team1,team2,sitting
1,DE,FG,ABC
2,AB,GC,DEF
3,BC,EF,ADG
4,FA,DG,BCE
5,AD,CE,BFG
6,BA,GF,CDE
7,DB,EC,AFG
8,FD,EG,ABC
9,AC,BG,DEF
10,CB,FE,ADG
11,GA,DF,BCE
12,AC,ED,BFG
13,FA,BG,CDE
14,DB,CE,AFG
15,GD,EF,ABC
16,AG,BC,DEF
17,FB,CE,ADG
18,DA,GF,BCE
19,AE,CD,BFG
20,FA,BG,CDE
21,EB,DC,AFG
22,DF,GE,ABC
23,AB,CG,DEF
24,BE,FC,ADG
25,AF,GD,BCE
26,EA,CD,BFG
27,AG,FB,CDE
28,BE,DC,AFG
29,ED,GF,ABC
30,CA,GB,DEF
31,BE,FC,ADG
32,AG,DF,BCE
33,CA,ED,BFG
34,GA,FB,CDE
35,BC,DE,AFG
36,FD,EG,ABC
37,AB,CG,DEF
38,BF,EC,ADG
39,DA,FG,BCE
40,AE,CD,BFG
41,AF,GB,CDE
42,BD,EC,AFG
43,DG,FE,ABC
44,GA,CB,DEF
45,EB,CF,ADG
46,AD,FG,BCE
47,EA,DC,BFG
48,AF,GB,CDE
49,CB,DE,AFG
50,FD,EG,ABC
51,BA,GC,DEF
52,EB,CF,ADG
53,AD,FG,BCE
54,AC,DE,BFG
55,GA,BF,CDE
56,BD,CE,AFG
57,DG,EF,ABC
58,BA,GC,DEF
59,CB,FE,ADG
60,AF,GD,BCE
61,EA,DC,BFG
62,AG,BF,CDE
63,BD,CE,AFG
64,DF,GE,ABC
65,AB,CG,DEF
66,BE,FC,ADG
67,DA,GF,BCE
68,CA,ED,BFG
69,AG,FB,CDE
70,DB,EC,AFG
71,FD,GE,ABC
72,CA,BG,DEF
73,EB,CF,ADG
74,FA,DG,BCE
75,AE,CD,BFG
76,BA,GF,CDE
77,DB,EC,AFG
78,GD,FE,ABC
79,AB,CG,DEF
80,BC,EF,ADG
81,DA,FG,BCE
82,AE,CD,BFG
83,AF,GB,CDE
84,BC,DE,AFG
85,FD,EG,ABC
86,CA,GB,DEF
87,BE,CF,ADG
88,AD,FG,BCE
89,EA,DC,BFG
90,GA,BF,CDE
91,BD,CE,AFG
92,DF,EG,ABC
93,AB,GC,DEF
94,BE,FC,ADG
95,FA,DG,BCE
96,AC,ED,BFG
97,GA,BF,CDE
98,CB,DE,AFG
99,GD,EF,ABC
100,AC,BG,DEF
101,CB,FE,ADG
102,DA,GF,BCE
103,AD,EC,BFG
104,FA,BG,CDE
105,DB,CE,AFG
106,DF,GE,ABC
107,BA,CG,DEF
108,EB,FC,ADG
109,AF,GD,BCE
110,AE,CD,BFG
111,AG,FB,CDE
112,BC,ED,AFG
113,DF,GE,ABC
114,BA,CG,DEF
115,EB,FC,ADG
116,AD,GF,BCE
117,EA,DC,BFG
118,AG,BF,CDE
119,BD,CE,AFG
120,DG,EF,ABC
121,AC,GB,DEF
122,BE,CF,ADG
123,DA,FG,BCE
124,AC,ED,BFG
125,GA,FB,CDE
126,BC,DE,AFG
127,FD,EG,ABC
128,AB,GC,DEF
129,BE,CF,ADG
130,FA,DG,BCE
131,AE,CD,BFG
132,AF,GB,CDE
133,BD,EC,AFG
134,DG,FE,ABC
135,CA,GB,DEF
136,BC,EF,ADG
137,AD,FG,BCE
138,EA,DC,BFG
139,AG,BF,CDE
140,DB,CE,AFG
141,FD,GE,ABC
142,BA,GC,DEF
143,EB,CF,ADG
144,DA,FG,BCE
145,AE,CD,BFG
146,GA,BF,CDE
147,DB,EC,AFG
148,GD,FE,ABC
149,CA,BG,DEF
150,CB,EF,ADG
151,AF,GD,BCE
152,EA,DC,BFG
153,FA,BG,CDE
154,CB,DE,AFG
155,DF,EG,ABC
156,AB,GC,DEF
157,BE,FC,ADG
158,AD,GF,BCE
159,CA,ED,BFG
160,AG,FB,CDE
161,BD,EC,AFG
162,DF,GE,ABC
163,BA,CG,DEF
164,EB,FC,ADG
165,AD,GF,BCE
166,CA,DE,BFG
167,AF,BG,CDE
168,BD,EC,AFG
169,FD,GE,ABC
170,AB,CG,DEF
171,BC,EF,ADG
172,FA,DG,BCE
173,AE,CD,BFG
174,GA,FB,CDE
175,EB,DC,AFG
176,FD,EG,ABC
177,BA,GC,DEF
178,CB,FE,ADG
179,DA,FG,BCE
180,AC,ED,BFG
181,GA,BF,CDE
182,DB,CE,AFG
183,FD,EG,ABC
184,AC,GB,DEF
185,BE,CF,ADG
186,FA,DG,BCE
187,EA,CD,BFG
188,AB,GF,CDE
189,BC,DE,AFG
190,GD,FE,ABC
191,BA,CG,DEF
192,EB,CF,ADG
193,DA,FG,BCE
194,AE,DC,BFG
195,GA,BF,CDE
196,CB,ED,AFG
197,DF,GE,ABC
198,AC,BG,DEF
199,EB,FC,ADG
200,AF,GD,BCE
201,DA,CE,BFG
202,AG,FB,CDE
203,BD,EC,AFG
204,DF,GE,ABC
205,CA,GB,DEF
206,BC,EF,ADG
207,AD,FG,BCE
208,EA,CD,BFG
209,AF,GB,CDE
210,DB,CE,AFG
211,FD,EG,ABC
212,BA,GC,DEF
213,BE,CF,ADG
214,FA,DG,BCE
215,AC,ED,BFG
216,GA,FB,CDE
217,CB,DE,AFG
218,GD,EF,ABC
219,AB,CG,DEF
220,BE,FC,ADG
221,DA,GF,BCE
222,AE,CD,BFG
223,AG,FB,CDE
224,BD,EC,AFG
225,DF,GE,ABC
226,CA,BG,DEF
227,EB,FC,ADG
228,AD,GF,BCE
229,EA,DC,BFG
230,AG,BF,CDE
231,DB,CE,AFG
232,GD,FE,ABC
233,BA,GC,DEF
234,CB,EF,ADG
235,AF,DG,BCE
236,AE,DC,BFG
237,FA,BG,CDE
238,CB,ED,AFG
239,DF,GE,ABC
240,AB,CG,DEF
241,BC,FE,ADG
242,AD,GF,BCE
243,CA,DE,BFG
244,AG,FB,CDE
245,BD,EC,AFG
246,FD,EG,ABC
247,CA,GB,DEF
248,BE,CF,ADG
