round,team1,team2,sitting
1,AB,CD,
2,DA,BC,
3,AD,CB,
4,BA,DC,
5,CD,BA,
6,AC,DB,
7,CA,BD,
8,AB,DC,
9,AC,BD,
10,DA,CB,
11,AD,BC,
12,CA,DB,
13,BD,AC,
14,CB,DA,
15,BC,AD,
16,DB,CA,
17,BA,CD,
18,DB,AC,
19,BD,CA,
20,DC,AB,
21,BC,DA,
22,CD,AB,
23,DC,BA,
24,CB,AD,
