round,team1,team2,sitting
1,CD,EF,AB
2,AB,FE,CD
3,BA,DC,EF
4,CF,ED,AB
5,AE,FB,CD
6,DA,BC,EF
7,CF,ED,AB
8,AE,FB,CD
9,DA,BC,EF
10,CE,DF,AB
11,AF,EB,CD
12,AC,BD,EF
13,CE,FD,AB
14,FA,EB,CD
15,AC,DB,EF
16,CD,EF,AB
17,FA,BE,CD
18,AC,DB,EF
19,CF,ED,AB
20,BA,FE,CD
21,AB,DC,EF
22,EC,DF,AB
23,FA,BE,CD
24,AD,CB,EF
25,EC,DF,AB
26,EA,BF,CD
27,AD,CB,EF
28,FC,DE,AB
29,EA,BF,CD
30,AB,CD,EF
31,FC,DE,AB
32,EA,BF,CD
33,AD,CB,EF
34,DC,FE,AB
35,BA,EF,CD
36,CA,BD,EF
37,FC,DE,AB
38,AF,EB,CD
39,CA,BD,EF
40,CE,FD,AB
41,AE,FB,CD
42,DA,BC,EF
43,EC,FD,AB
44,AF,BE,CD
45,CA,DB,EF
46,EC,FD,AB
47,AE,BF,CD
48,CA,DB,EF
49,FC,ED,AB
50,AF,BE,CD
51,DA,CB,EF
52,CD,EF,AB
53,AB,FE,CD
54,BA,DC,EF
55,CF,ED,AB
56,AE,FB,CD
57,DA,BC,EF
58,CE,DF,AB
59,FA,EB,CD
60,AC,BD,EF
61,CF,DE,AB
62,EA,FB,CD
63,AD,BC,EF
64,CE,DF,AB
65,FA,EB,CD
66,AC,BD,EF
67,CD,EF,AB
68,AB,FE,CD
69,BA,DC,EF
70,EC,FD,AB
71,AF,BE,CD
72,CA,DB,EF
73,FC,ED,AB
74,AE,BF,CD
75,DA,CB,EF
76,EC,FD,AB
77,AF,BE,CD
78,CA,DB,EF
79,FC,DE,AB
80,EA,BF,CD
81,AD,CB,EF
82,DC,FE,AB
83,BA,EF,CD
84,AB,CD,EF
85,FC,DE,AB
86,EA,BF,CD
87,AD,CB,EF
88,CE,DF,AB
89,FA,EB,CD
90,AC,BD,EF
91,CF,DE,AB
92,EA,FB,CD
93,AD,BC,EF
94,CE,DF,AB
95,FA,EB,CD
96,AC,BD,EF
97,CD,EF,AB
98,AB,FE,CD
99,BA,DC,EF
100,CF,ED,AB
101,AE,FB,CD
102,DA,BC,EF
103,EC,FD,AB
104,AF,BE,CD
105,CA,DB,EF
106,EC,FD,AB
107,AE,BF,CD
108,CA,DB,EF
109,FC,ED,AB
110,AF,BE,CD
111,DA,CB,EF
112,CD,EF,AB
113,AB,FE,CD
114,BA,DC,EF
115,CF,ED,AB
116,AE,FB,CD
117,DA,BC,EF
118,CE,DF,AB
119,FA,EB,CD
120,AC,BD,EF
121,CF,DE,AB
122,EA,FB,CD
123,AD,BC,EF
124,CE,DF,AB
125,FA,EB,CD
126,AC,BD,EF
127,CD,EF,AB
128,AB,FE,CD
129,BA,DC,EF
130,EC,FD,AB
131,AF,BE,CD
132,CA,DB,EF
133,FC,ED,AB
134,AE,BF,CD
135,DA,CB,EF
136,EC,FD,AB
137,AF,BE,CD
138,CA,DB,EF
139,FC,DE,AB
140,EA,BF,CD
141,AD,CB,EF
142,DC,FE,AB
143,BA,EF,CD
144,AB,CD,EF
145,FC,DE,AB
146,EA,BF,CD
147,AD,CB,EF
148,CE,DF,AB
149,FA,EB,CD
150,AC,BD,EF
151,CF,DE,AB
152,EA,FB,CD
153,AD,BC,EF
154,CE,DF,AB
155,FA,EB,CD
156,AC,BD,EF
157,CD,EF,AB
158,AB,FE,CD
159,BA,DC,EF
160,CF,ED,AB
161,AE,FB,CD
162,DA,BC,EF
163,EC,FD,AB
164,AF,BE,CD
165,CA,DB,EF
166,EC,FD,AB
167,AE,BF,CD
168,CA,DB,EF
169,FC,ED,AB
170,AF,BE,CD
171,DA,CB,EF
172,CD,EF,AB
173,AB,FE,CD
174,BA,DC,EF
175,CF,ED,AB
176,AE,FB,CD
177,DA,BC,EF
178,CE,DF,AB
179,FA,EB,CD
180,AC,BD,EF
181,CF,DE,AB
182,EA,FB,CD
183,AD,BC,EF
184,CE,DF,AB
185,FA,EB,CD
186,AC,BD,EF
187,CD,EF,AB
188,AB,FE,CD
189,BA,DC,EF
190,EC,FD,AB
191,AF,BE,CD
192,CA,DB,EF
193,FC,ED,AB
194,AE,BF,CD
195,DA,CB,EF
196,EC,FD,AB
197,AF,BE,CD
198,CA,DB,EF
199,FC,DE,AB
200,EA,BF,CD
201,AD,CB,EF
202,DC,FE,AB
203,BA,EF,CD
204,AB,CD,EF
205,FC,DE,AB
206,EA,BF,CD
207,AD,CB,EF
208,CE,DF,AB
209,FA,EB,CD
210,AC,BD,EF
211,CF,DE,AB
212,EA,FB,CD
213,AD,BC,EF
214,CE,DF,AB
215,FA,EB,CD
216,AC,BD,EF
217,CD,EF,AB
218,AB,FE,CD
219,BA,DC,EF
220,CF,ED,AB
221,AE,FB,CD
222,DA,BC,EF
223,EC,FD,AB
224,AF,BE,CD
225,CA,DB,EF
226,EC,FD,AB
227,AE,BF,CD
228,CA,DB,EF
229,FC,ED,AB
230,AF,BE,CD
231,DA,CB,EF
232,CD,EF,AB
233,AB,FE,CD
234,BA,DC,EF
235,CF,ED,AB
236,AE,FB,CD
237,DA,BC,EF
238,CE,DF,AB
239,FA,EB,CD
240,AC,BD,EF
241,CF,DE,AB
242,EA,FB,CD
243,AD,BC,EF
244,CE,DF,AB
245,FA,EB,CD
246,AC,BD,EF
247,CD,EF,AB
248,AB,FE,CD
249,BA,DC,EF
250,EC,FD,AB
251,AF,BE,CD
252,CA,DB,EF
253,FC,ED,AB
254,AE,BF,CD
255,DA,CB,EF
256,EC,FD,AB
257,AF,BE,CD
258,CA,DB,EF
259,FC,DE,AB
260,EA,BF,CD
261,AD,CB,EF
262,DC,FE,AB
263,BA,EF,CD
264,AB,CD,EF
265,FC,DE,AB
266,EA,BF,CD
267,AD,CB,EF
268,CE,DF,AB
269,FA,EB,CD
270,AC,BD,EF
271,CF,DE,AB
272,EA,FB,CD
273,AD,BC,EF
274,CE,DF,AB
275,FA,EB,CD
276,AC,BD,EF
277,CD,EF,AB
278,AB,FE,CD
279,BA,DC,EF
280,CF,ED,AB
281,AE,FB,CD
282,DA,BC,EF
283,EC,FD,AB
284,AF,BE,CD
285,CA,DB,EF
286,EC,FD,AB
287,AE,BF,CD
288,CA,DB,EF
289,FC,ED,AB
290,AF,BE,CD
291,DA,CB,EF
292,CD,EF,AB
293,AB,FE,CD
294,BA,DC,EF
295,CF,ED,AB
296,AE,FB,CD
297,DA,BC,EF
298,CE,DF,AB
299,FA,EB,CD
300,AC,BD,EF
301,CF,DE,AB
302,EA,FB,CD
303,AD,BC,EF
304,CE,DF,AB
305,FA,EB,CD
306,AC,BD,EF
307,CD,EF,AB
308,AB,FE,CD
309,BA,DC,EF
310,EC,FD,AB
311,AF,BE,CD
312,CA,DB,EF
